
70273 PANC Anchorage Observations at 12Z 23 Mar 2009

-----------------------------------------------------------------------------
   PRES   HGHT   TEMP   DWPT   RELH   MIXR   DRCT   SKNT   THTA   THTE   THTV
    hPa     m      C      C      %    g/kg    deg   knot     K      K      K 
-----------------------------------------------------------------------------
 1001.0     40   -5.3   -8.9     76   1.96    335      4  267.8  273.2  268.1
 1000.0     61   -4.9   -8.7     75   1.99     55      6  268.2  273.8  268.6
  992.0    124   -5.1  -10.0     68   1.81     50      8  268.7  273.8  269.0
  984.0    188   -5.5  -11.5     63   1.62     45     10  268.9  273.5  269.1
  969.4    305   -6.2  -11.3     67   1.67     35     14  269.4  274.1  269.6
  967.0    324   -6.3  -11.3     68   1.68     36     14  269.4  274.2  269.7
  959.0    389   -4.7   -8.3     76   2.14     41     13  271.7  277.7  272.0
  945.0    505   -2.3   -9.3     59   2.01     48     11  275.3  281.0  275.6
  932.6    610   -2.7  -12.1     48   1.62     55     10  275.9  280.7  276.2
  925.0    675   -2.9  -13.9     42   1.42     70      8  276.3  280.5  276.6
  897.2    914   -5.1  -14.7     47   1.37    100      7  276.4  280.5  276.7
  862.9   1219   -8.0  -15.7     54   1.31     95     11  276.6  280.4  276.8
  850.0   1337   -9.1  -16.1     57   1.29    105     14  276.6  280.4  276.8
  797.2   1829  -13.3  -17.8     69   1.19    125     22  277.2  280.8  277.4
  797.0   1831  -13.3  -17.8     69   1.19    125     22  277.2  280.8  277.4
  787.0   1927  -13.5  -20.5     56   0.96    123     20  278.0  280.9  278.2
  779.0   2005  -13.7  -20.7     56   0.95    122     18  278.6  281.5  278.8
  765.7   2134  -14.8  -21.1     59   0.94    120     15  278.9  281.7  279.0
  735.4   2438  -17.3  -21.9     67   0.90     95     10  279.3  282.1  279.5
  719.0   2608  -18.7  -22.4     73   0.89    106      9  279.6  282.3  279.8
  706.0   2743  -19.6  -23.4     72   0.83    115      9  280.0  282.6  280.1
  700.0   2807  -20.1  -23.8     72   0.80    110      9  280.2  282.7  280.3
  649.5   3353  -24.5  -28.0     73   0.59     90      5  281.3  283.2  281.4
  622.9   3658  -26.9  -30.4     73   0.49    100     11  281.9  283.4  281.9
  615.0   3751  -27.7  -31.1     73   0.47    114     12  282.0  283.5  282.1
  597.2   3962  -27.4  -30.4     75   0.51    145     15  284.8  286.5  284.9
  594.0   4000  -27.3  -30.3     76   0.52    146     15  285.3  287.0  285.4
  572.3   4267  -28.1  -31.3     74   0.49    155     13  287.5  289.1  287.6
  560.0   4423  -28.5  -31.9     73   0.47    163     15  288.7  290.3  288.8
  551.0   4539  -27.9  -31.3     73   0.51    168     16  290.8  292.5  290.9
  525.4   4877  -29.9  -33.7     69   0.42    185     20  292.4  293.8  292.5
  500.0   5230  -31.9  -36.2     66   0.35    190     23  294.1  295.3  294.1
  490.0   5373  -32.7  -37.0     65   0.33    195     25  294.8  295.9  294.9
  471.0   5653  -32.5  -36.4     68   0.36    205     28  298.4  299.7  298.5
  461.8   5791  -33.5  -37.5     67   0.33    210     30  298.8  300.0  298.9
  442.0   6096  -35.8  -40.1     64   0.26    205     32  299.8  300.7  299.8
  400.0   6790  -40.9  -45.9     58   0.16    205     38  301.8  302.3  301.8
  369.5   7315  -44.9  -50.3     55   0.10    210     43  303.3  303.7  303.4
  352.8   7620  -47.2  -52.8     53   0.08    210     40  304.2  304.5  304.2
  318.0   8307  -52.5  -58.5     48   0.04    204     39  306.1  306.3  306.1
  300.0   8680  -54.7  -60.7     47   0.04    200     38  308.1  308.3  308.1
  278.8   9144  -57.4  -63.4     46   0.03    200     37  310.8  310.9  310.8
  266.0   9440  -59.1  -65.1     46   0.02    205     36  312.5  312.6  312.5
  257.0   9656  -57.9  -63.9     46   0.03    212     33  317.4  317.5  317.4
  253.0   9754  -57.8  -63.8     46   0.03    215     31  318.9  319.1  318.9
  250.0   9830  -57.7  -63.7     46   0.03    210     31  320.2  320.3  320.2
  244.0   9984  -57.7  -63.7     46   0.03    224     28  322.4  322.5  322.4
  241.2  10058  -56.4  -63.3     41   0.03    230     27  325.4  325.6  325.5
  241.0  10062  -56.3  -63.3     41   0.03    230     27  325.6  325.8  325.6
  231.0  10332  -56.7  -63.7     41   0.03    212     23  329.0  329.1  329.0
  229.9  10363  -56.4  -63.4     41   0.03    210     23  329.9  330.1  329.9
  225.0  10500  -54.9  -61.9     42   0.04    214     22  334.2  334.4  334.2
  209.0  10976  -52.9  -60.9     37   0.05    227     19  344.5  344.7  344.5
  200.0  11260  -53.5  -62.5     32   0.04    235     17  347.9  348.1  347.9
  196.0  11390  -53.7  -62.7     32   0.04    235     15  349.6  349.8  349.6
  191.0  11557  -51.9  -60.9     33   0.05    235     13  355.1  355.3  355.1
  190.2  11582  -51.9  -60.9     33   0.06    235     13  355.5  355.7  355.5
  187.0  11694  -51.9  -60.9     33   0.06    226     14  357.2  357.5  357.2
  181.5  11887  -50.8  -60.6     30   0.06    210     16  362.0  362.3  362.1
  180.0  11941  -50.5  -60.5     30   0.06    217     16  363.4  363.7  363.4
  173.2  12192  -50.9  -61.5     27   0.06    250     15  366.8  367.1  366.8
  169.0  12352  -51.1  -62.1     26   0.05    242     17  369.0  369.3  369.0
  165.3  12497  -49.2  -61.2     23   0.06    235     18  374.5  374.8  374.5
  165.0  12508  -49.1  -61.1     23   0.06    236     18  374.9  375.2  374.9
  163.0  12588  -48.9  -60.9     23   0.06    241     17  376.6  376.9  376.6
  157.8  12802  -50.3  -62.3     23   0.06    255     13  377.7  378.0  377.8
  154.0  12959  -51.3  -63.3     23   0.05    253     14  378.6  378.9  378.6
  150.0  13130  -51.5  -64.5     20   0.04    250     15  381.1  381.4  381.1
  137.0  13717  -51.9  -64.9     20   0.05    257     17  390.4  390.7  390.4
  130.0  14054  -53.5  -66.5     19   0.04    261     19  393.4  393.7  393.5
  110.0  15128  -53.1  -67.1     17   0.04    274     24  413.4  413.7  413.4
  108.1  15240  -53.2  -67.4     16   0.04    275     24  415.4  415.6  415.4
  100.0  15740  -53.5  -68.5     14   0.04    285     24  424.1  424.3  424.1
   73.9  17678  -55.2  -71.1     12   0.04    290     17  458.9  459.1  458.9
   72.1  17832  -55.3  -71.3     12   0.04    290     19  461.8  462.0  461.8
   70.0  18020  -56.1  -71.1     14   0.04    290     21  464.0  464.3  464.0
   67.1  18288  -57.4  -72.4     13   0.03    305     26  466.8  467.0  466.8
   66.5  18346  -57.7  -72.7     13   0.03    304     26  467.4  467.6  467.4
   61.0  18893  -56.3  -72.3     12   0.04    295     28  482.2  482.4  482.2
   52.8  19812  -58.7  -73.9     12   0.03    280     31  497.0  497.2  497.0
   51.0  20026  -59.3  -74.3     13   0.03    293     31  500.5  500.7  500.5
   50.0  20150  -58.7  -73.7     13   0.04    300     31  504.7  505.0  504.7
   47.9  20422  -57.3  -73.3     11   0.04    305     32  514.3  514.6  514.3
   47.9  20420  -57.3  -73.3     11   0.04    305     32  514.3  514.6  514.3
   43.5  21031  -58.5  -74.1     12   0.04    330     28  526.0  526.2  526.0
   41.4  21336  -59.0  -74.5     12   0.04    315     19  531.9  532.2  531.9
   39.4  21641  -59.6  -74.8     12   0.04    295     22  537.9  538.2  537.9
   37.2  22006  -60.3  -75.3     12   0.04    304     27  545.1  545.4  545.1
   35.8  22250  -59.2  -75.0     11   0.04    310     31  554.1  554.4  554.1
   35.4  22316  -58.9  -74.9     11   0.04    306     30  556.5  556.9  556.5
   34.1  22555  -59.5  -75.0     12   0.04    290     27  561.2  561.5  561.2
   32.6  22832  -60.1  -75.1     12   0.04    306     26  566.6  567.0  566.6
   31.7  23007  -59.1  -75.1     11   0.05    316     25  573.8  574.2  573.9
   30.1  23329  -61.3  -76.3     12   0.04    334     23  576.4  576.7  576.4
   30.0  23350  -61.3  -76.3     12   0.04    335     23  577.0  577.3  577.0
   29.4  23470  -61.5  -76.5     12   0.04    345     22  579.6  579.9  579.6
   28.3  23711  -61.9  -76.9     12   0.04    329     20  585.0  585.3  585.0
   28.0  23774  -61.7  -76.7     12   0.04    325     19  587.1  587.5  587.1
   26.7  24079  -61.0  -76.0     12   0.05    285     31  597.6  598.0  597.6
   25.6  24334  -60.3  -75.3     12   0.05    293     28  606.5  607.0  606.6
   25.4  24384  -60.5  -75.5     12   0.05    295     28  607.2  607.7  607.2
   24.3  24658  -61.9  -76.9     12   0.04    304     26  611.0  611.4  611.0
   23.0  24994  -62.2  -77.2     12   0.05    315     23  619.6  620.0  619.6
